case_id,true_pathology,truth_rank,candidate_pool_size,candidate_pool_has_true
test:22506,Acute COPD exacerbation / infection,1.0,3,True
test:55836,Acute COPD exacerbation / infection,1.0,3,True
test:122787,Acute COPD exacerbation / infection,1.0,4,True
test:125700,Acute COPD exacerbation / infection,1.0,4,True
test:32430,Acute dystonic reactions,1.0,5,True
test:43433,Acute dystonic reactions,1.0,3,True
test:94267,Acute dystonic reactions,1.0,3,True
test:132880,Acute dystonic reactions,1.0,3,True
test:80690,Acute laryngitis,1.0,3,True
test:105339,Acute laryngitis,2.0,8,True
test:124793,Acute laryngitis,1.0,3,True
test:127254,Acute laryngitis,1.0,4,True
test:3964,Acute otitis media,1.0,4,True
test:55869,Acute otitis media,1.0,4,True
test:68148,Acute otitis media,1.0,4,True
test:84852,Acute otitis media,1.0,4,True
test:27475,Acute pulmonary edema,1.0,5,True
test:81766,Acute pulmonary edema,1.0,3,True
test:100704,Acute pulmonary edema,1.0,5,True
test:125311,Acute pulmonary edema,1.0,4,True
test:21703,Acute rhinosinusitis,2.0,3,True
test:52366,Acute rhinosinusitis,2.0,4,True
test:61503,Acute rhinosinusitis,2.0,3,True
test:93342,Acute rhinosinusitis,2.0,4,True
test:27272,Allergic sinusitis,1.0,3,True
test:29699,Allergic sinusitis,1.0,3,True
test:50574,Allergic sinusitis,1.0,3,True
test:127067,Allergic sinusitis,,4,False
test:810,Anaphylaxis,1.0,3,True
test:17836,Anaphylaxis,1.0,3,True
test:49934,Anaphylaxis,1.0,4,True
test:81333,Anaphylaxis,1.0,4,True
test:7624,Anemia,1.0,4,True
test:8943,Anemia,1.0,4,True
test:79005,Anemia,1.0,3,True
test:133165,Anemia,1.0,4,True
test:23690,Atrial fibrillation,2.0,8,True
test:52726,Atrial fibrillation,1.0,4,True
test:125873,Atrial fibrillation,1.0,5,True
test:126708,Atrial fibrillation,1.0,3,True
test:2066,Boerhaave,1.0,5,True
test:46178,Boerhaave,1.0,4,True
test:95571,Boerhaave,1.0,5,True
test:119943,Boerhaave,1.0,4,True
test:3379,Bronchiectasis,1.0,4,True
test:35167,Bronchiectasis,1.0,4,True
test:40700,Bronchiectasis,1.0,4,True
test:134107,Bronchiectasis,1.0,3,True
test:10950,Bronchiolitis,1.0,3,True
test:33679,Bronchiolitis,1.0,3,True
test:71912,Bronchiolitis,1.0,5,True
test:109763,Bronchiolitis,1.0,3,True
test:29193,Bronchitis,1.0,3,True
test:62294,Bronchitis,1.0,3,True
test:90104,Bronchitis,2.0,5,True
test:115388,Bronchitis,1.0,3,True
test:17888,Bronchospasm / acute asthma exacerbation,1.0,5,True
test:21999,Bronchospasm / acute asthma exacerbation,1.0,5,True
test:115290,Bronchospasm / acute asthma exacerbation,1.0,4,True
test:130230,Bronchospasm / acute asthma exacerbation,1.0,5,True
test:33412,Chagas,1.0,4,True
test:54380,Chagas,1.0,4,True
test:67364,Chagas,1.0,4,True
test:121387,Chagas,1.0,4,True
test:42918,Chronic rhinosinusitis,1.0,3,True
test:57428,Chronic rhinosinusitis,1.0,3,True
test:59233,Chronic rhinosinusitis,1.0,4,True
test:100008,Chronic rhinosinusitis,1.0,3,True
test:54762,Cluster headache,1.0,3,True
test:71825,Cluster headache,1.0,3,True
test:76617,Cluster headache,1.0,5,True
test:102273,Cluster headache,1.0,5,True
test:609,Croup,3.0,3,True
test:34582,Croup,1.0,3,True
test:56690,Croup,1.0,6,True
test:110564,Croup,1.0,3,True
test:30358,Ebola,,4,False
test:37820,Ebola,1.0,3,True
test:59965,Ebola,1.0,4,True
test:113762,Ebola,2.0,3,True
test:457,Epiglottitis,1.0,4,True
test:31308,Epiglottitis,1.0,4,True
test:100513,Epiglottitis,1.0,4,True
test:132876,Epiglottitis,2.0,3,True
test:5445,GERD,1.0,3,True
test:51012,GERD,1.0,4,True
test:59989,GERD,1.0,3,True
test:126203,GERD,1.0,3,True
test:1852,Guillain-Barré syndrome,1.0,3,True
test:29347,Guillain-Barré syndrome,1.0,3,True
test:77972,Guillain-Barré syndrome,1.0,8,True
test:112956,Guillain-Barré syndrome,1.0,5,True
test:21800,HIV (initial infection),1.0,5,True
test:45939,HIV (initial infection),1.0,5,True
test:76382,HIV (initial infection),1.0,3,True
test:101559,HIV (initial infection),1.0,5,True
test:45267,Influenza,1.0,4,True
test:53391,Influenza,1.0,4,True
test:77939,Influenza,1.0,3,True
test:86128,Influenza,1.0,3,True
test:45768,Inguinal hernia,1.0,5,True
test:121934,Inguinal hernia,1.0,5,True
test:125197,Inguinal hernia,1.0,3,True
test:133289,Inguinal hernia,1.0,5,True
test:51562,Larygospasm,1.0,3,True
test:60218,Larygospasm,1.0,3,True
test:71991,Larygospasm,1.0,4,True
test:95902,Larygospasm,1.0,4,True
test:34824,Localized edema,1.0,3,True
test:40298,Localized edema,1.0,3,True
test:71951,Localized edema,1.0,3,True
test:87390,Localized edema,1.0,6,True
test:19892,Myasthenia gravis,1.0,3,True
test:22450,Myasthenia gravis,1.0,3,True
test:23963,Myasthenia gravis,1.0,3,True
test:116166,Myasthenia gravis,1.0,3,True
test:29414,Myocarditis,1.0,3,True
test:97460,Myocarditis,1.0,7,True
test:118428,Myocarditis,1.0,3,True
test:124713,Myocarditis,1.0,3,True
test:20287,PSVT,1.0,4,True
test:39091,PSVT,1.0,5,True
