dataset_name,case_id,budget,candidate_rank,label,resolver_score,support_count,sources
ddxplus,test:17941,5,1,Acute dystonic reactions,2.299997955560684,3,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.3499979555606842}, {""source"": ""casebase_prior"", ""value"": 0.8}]"
ddxplus,test:17941,5,2,Anemia,0.5796991950699099,2,"[{""source"": ""base_llm_rank"", ""value"": 0.16428571428571428}, {""source"": ""casebase_prior"", ""value"": 0.4154134807841956}]"
ddxplus,test:17941,5,3,Scombroid food poisoning,0.575,1,"[{""source"": ""base_llm_rank"", ""value"": 0.575}]"
ddxplus,test:17941,5,4,PSVT,0.5082131018503752,2,"[{""source"": ""base_llm_rank"", ""value"": 0.12777777777777777}, {""source"": ""casebase_prior"", ""value"": 0.3804353240725974}]"
ddxplus,test:17941,5,5,URTI,0.465782878223554,1,"[{""source"": ""casebase_prior"", ""value"": 0.465782878223554}]"
ddxplus,test:17941,5,6,Viral pharyngitis,0.445813647206574,1,"[{""source"": ""casebase_prior"", ""value"": 0.445813647206574}]"
ddxplus,test:17941,5,7,Bronchospasm / acute asthma exacerbation,0.3907688484350535,1,"[{""source"": ""casebase_prior"", ""value"": 0.3907688484350535}]"
ddxplus,test:17941,5,8,Acute otitis media,0.3902161391023041,1,"[{""source"": ""casebase_prior"", ""value"": 0.3902161391023041}]"
ddxplus,test:17941,10,1,Acute dystonic reactions,2.3,3,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.35}, {""source"": ""casebase_prior"", ""value"": 0.8}]"
ddxplus,test:17941,10,2,Myasthenia gravis,0.575,1,"[{""source"": ""base_llm_rank"", ""value"": 0.575}]"
ddxplus,test:17941,10,3,Guillain-Barré syndrome,0.5638960947579825,2,"[{""source"": ""base_llm_rank"", ""value"": 0.22999999999999998}, {""source"": ""casebase_prior"", ""value"": 0.33389609475798254}]"
ddxplus,test:17941,10,4,Anemia,0.5142366033881703,2,"[{""source"": ""base_llm_rank"", ""value"": 0.14375}, {""source"": ""casebase_prior"", ""value"": 0.37048660338817035}]"
ddxplus,test:17941,10,5,URTI,0.4304695263849249,1,"[{""source"": ""casebase_prior"", ""value"": 0.4304695263849249}]"
ddxplus,test:17941,10,6,Viral pharyngitis,0.39464893194011125,1,"[{""source"": ""casebase_prior"", ""value"": 0.39464893194011125}]"
ddxplus,test:17941,10,7,Scombroid food poisoning,0.3833333333333333,1,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}]"
ddxplus,test:17941,10,8,Localized edema,0.34827886971663735,1,"[{""source"": ""casebase_prior"", ""value"": 0.34827886971663735}]"
ddxplus,test:17941,15,1,Acute dystonic reactions,2.299998539686203,3,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.349998539686203}, {""source"": ""casebase_prior"", ""value"": 0.8}]"
ddxplus,test:17941,15,2,Scombroid food poisoning,0.575,1,"[{""source"": ""base_llm_rank"", ""value"": 0.575}]"
ddxplus,test:17941,15,3,Anemia,0.5308982208315888,2,"[{""source"": ""base_llm_rank"", ""value"": 0.16428571428571428}, {""source"": ""casebase_prior"", ""value"": 0.3666125065458745}]"
ddxplus,test:17941,15,4,Anaphylaxis,0.4595793078123191,2,"[{""source"": ""base_llm_rank"", ""value"": 0.12777777777777777}, {""source"": ""casebase_prior"", ""value"": 0.3318015300345413}]"
ddxplus,test:17941,15,5,URTI,0.4089464403981688,1,"[{""source"": ""casebase_prior"", ""value"": 0.4089464403981688}]"
ddxplus,test:17941,15,6,Viral pharyngitis,0.3876842544772965,1,"[{""source"": ""casebase_prior"", ""value"": 0.3876842544772965}]"
ddxplus,test:17941,15,7,Myasthenia gravis,0.3833333333333333,1,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}]"
ddxplus,test:17941,15,8,Localized edema,0.33254049704422295,1,"[{""source"": ""casebase_prior"", ""value"": 0.33254049704422295}]"
icraft_md,icraft_md:128,5,1,Morbilliform eruption,2.2225,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
icraft_md,icraft_md:128,5,2,Acute Generalized Exanthematous Pustulosis,1.9316666666666666,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
icraft_md,icraft_md:128,5,3,Steven Johnsons Syndrome,1.74,3,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
icraft_md,icraft_md:128,5,4,Drug-induced hypersensitivity syndrome,0.7625,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
icraft_md,icraft_md:128,10,1,Morbilliform eruption,2.2225,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
icraft_md,icraft_md:128,10,2,Acute Generalized Exanthematous Pustulosis,1.9316666666666666,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
icraft_md,icraft_md:128,10,3,Steven Johnsons Syndrome,1.74,3,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
icraft_md,icraft_md:128,10,4,Drug-induced hypersensitivity syndrome,0.7625,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
icraft_md,icraft_md:128,15,1,Morbilliform eruption,2.2225,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
icraft_md,icraft_md:128,15,2,Acute Generalized Exanthematous Pustulosis,1.9316666666666666,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
icraft_md,icraft_md:128,15,3,Steven Johnsons Syndrome,1.74,3,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
icraft_md,icraft_md:128,15,4,Drug-induced hypersensitivity syndrome,0.7625,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
rarebench,rarebench:LIRICAL:70,5,1,Heterotaxy syndrome,3.2224999999999997,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""casebase_prior"", ""value"": 0.8}, {""source"": ""rarebench_graph"", ""value"": 1.15}]"
rarebench,rarebench:LIRICAL:70,5,2,Tubulointerstitial kidney disease,1.9782239901676746,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""rarebench_graph"", ""value"": 0.36322399016767454}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,5,3,Immunoskeletal dysplasia with neurodevelopmental abnormalities,1.9280083162212003,4,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""casebase_prior"", ""value"": 0.30719072230251854}, {""source"": ""rarebench_graph"", ""value"": 0.19748426058534835}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,5,4,"3-Methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome",0.95,2,"[{""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
rarebench,rarebench:LIRICAL:70,5,5,Cockayne syndrome,0.678004941473876,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""casebase_prior"", ""value"": 0.2046299351405934}, {""source"": ""rarebench_graph"", ""value"": 0.18587500633328266}]"
rarebench,rarebench:LIRICAL:70,5,6,Aarskog-Scott syndrome,0.6333333333333333,2,"[{""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
rarebench,rarebench:LIRICAL:70,5,7,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",0.51560941277733,1,"[{""source"": ""casebase_prior"", ""value"": 0.51560941277733}]"
rarebench,rarebench:LIRICAL:70,5,8,"Acromesomelic dysplasia, Maroteaux type",0.475,2,"[{""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
rarebench,rarebench:LIRICAL:70,10,1,Heterotaxy syndrome,3.2224999999999997,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""casebase_prior"", ""value"": 0.8}, {""source"": ""rarebench_graph"", ""value"": 1.15}]"
rarebench,rarebench:LIRICAL:70,10,2,Tubulointerstitial kidney disease,1.9782239901676746,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""rarebench_graph"", ""value"": 0.36322399016767454}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,10,3,Immunoskeletal dysplasia with neurodevelopmental abnormalities,1.9280083162212003,4,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""casebase_prior"", ""value"": 0.30719072230251854}, {""source"": ""rarebench_graph"", ""value"": 0.19748426058534835}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,10,4,"3-Methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome",0.95,2,"[{""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
rarebench,rarebench:LIRICAL:70,10,5,Cockayne syndrome,0.678004941473876,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""casebase_prior"", ""value"": 0.2046299351405934}, {""source"": ""rarebench_graph"", ""value"": 0.18587500633328266}]"
rarebench,rarebench:LIRICAL:70,10,6,Aarskog-Scott syndrome,0.6333333333333333,2,"[{""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
rarebench,rarebench:LIRICAL:70,10,7,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",0.51560941277733,1,"[{""source"": ""casebase_prior"", ""value"": 0.51560941277733}]"
rarebench,rarebench:LIRICAL:70,10,8,"Acromesomelic dysplasia, Maroteaux type",0.475,2,"[{""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
rarebench,rarebench:LIRICAL:70,15,1,Heterotaxy syndrome,3.2224999999999997,4,"[{""source"": ""base_llm_rank"", ""value"": 1.15}, {""source"": ""base_llm_confidence"", ""value"": 0.12249999999999998}, {""source"": ""casebase_prior"", ""value"": 0.8}, {""source"": ""rarebench_graph"", ""value"": 1.15}]"
rarebench,rarebench:LIRICAL:70,15,2,Tubulointerstitial kidney disease,1.9782239901676746,3,"[{""source"": ""base_llm_rank"", ""value"": 0.575}, {""source"": ""rarebench_graph"", ""value"": 0.36322399016767454}, {""source"": ""branch:branch_1"", ""value"": 0.95}, {""source"": ""branch_conf:branch_1"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,15,3,Immunoskeletal dysplasia with neurodevelopmental abnormalities,1.9280083162212003,4,"[{""source"": ""base_llm_rank"", ""value"": 0.3833333333333333}, {""source"": ""casebase_prior"", ""value"": 0.30719072230251854}, {""source"": ""rarebench_graph"", ""value"": 0.19748426058534835}, {""source"": ""branch:branch_2"", ""value"": 0.95}, {""source"": ""branch_conf:branch_2"", ""value"": 0.09000000000000001}]"
rarebench,rarebench:LIRICAL:70,15,4,"3-Methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome",0.95,2,"[{""source"": ""branch:branch_1"", ""value"": 0.475}, {""source"": ""branch:branch_2"", ""value"": 0.475}]"
rarebench,rarebench:LIRICAL:70,15,5,Cockayne syndrome,0.678004941473876,3,"[{""source"": ""base_llm_rank"", ""value"": 0.2875}, {""source"": ""casebase_prior"", ""value"": 0.2046299351405934}, {""source"": ""rarebench_graph"", ""value"": 0.18587500633328266}]"
rarebench,rarebench:LIRICAL:70,15,6,Aarskog-Scott syndrome,0.6333333333333333,2,"[{""source"": ""branch:branch_1"", ""value"": 0.31666666666666665}, {""source"": ""branch:branch_2"", ""value"": 0.31666666666666665}]"
rarebench,rarebench:LIRICAL:70,15,7,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",0.51560941277733,1,"[{""source"": ""casebase_prior"", ""value"": 0.51560941277733}]"
rarebench,rarebench:LIRICAL:70,15,8,"Acromesomelic dysplasia, Maroteaux type",0.475,2,"[{""source"": ""branch:branch_1"", ""value"": 0.2375}, {""source"": ""branch:branch_2"", ""value"": 0.2375}]"
