dataset_name,case_id,budget,split,workup_id,pool_miss_label,current_candidate_pool_size,num_questions,branch_triggered,branch_count,resolver_margin,confidence,weak_confidence,low_resolver_margin,small_pool
ddxplus,test:17941,5,validate,ddxplus|test:17941|5,0,8,3.0,False,0,1.334475907084082,0.998310923576355,0,0,0
ddxplus,test:17941,10,validate,ddxplus|test:17941|10,0,8,4.0,False,0,1.681599590068865,0.9999598264694214,0,0,0
ddxplus,test:17941,15,validate,ddxplus|test:17941|15,0,8,5.0,False,0,1.7249985396862029,0.9999958276748656,0,0,0
ddxplus,test:91755,5,train,ddxplus|test:91755|5,0,8,5.0,False,0,0.6395924626929714,0.3925056159496307,1,0,0
ddxplus,test:91755,10,train,ddxplus|test:91755|10,0,8,10.0,False,0,1.126036287117269,0.2748570740222931,1,0,0
ddxplus,test:91755,15,train,ddxplus|test:91755|15,0,8,15.0,False,0,0.9861975693728158,0.6031309962272644,1,0,0
ddxplus,test:122283,5,test,ddxplus|test:122283|5,0,8,5.0,False,0,0.1618881683564459,0.4028463363647461,1,1,0
ddxplus,test:122283,10,test,ddxplus|test:122283|10,0,8,10.0,False,0,1.0605570241495506,0.5779973864555359,1,0,0
ddxplus,test:122283,15,test,ddxplus|test:122283|15,0,8,15.0,False,0,0.5041890245984548,0.1096981838345527,1,0,0
ddxplus,test:40061,5,train,ddxplus|test:40061|5,0,8,5.0,False,0,0.7948651868783703,0.7627402544021606,0,0,0
ddxplus,test:40061,10,train,ddxplus|test:40061|10,0,8,10.0,False,0,0.8704060740165327,0.3357288241386413,1,0,0
ddxplus,test:40061,15,train,ddxplus|test:40061|15,0,8,7.0,False,0,1.033823394289353,0.9987186193466188,0,0,0
ddxplus,test:53615,5,train,ddxplus|test:53615|5,0,8,5.0,False,0,0.5928404309154702,0.3056749701499939,1,0,0
ddxplus,test:53615,10,train,ddxplus|test:53615|10,0,8,10.0,True,1,2.3140837486291117,0.9999672174453736,0,0,0
ddxplus,test:53615,15,train,ddxplus|test:53615|15,0,8,12.0,True,2,2.144083748629112,0.9999672174453736,0,0,0
ddxplus,test:61929,5,train,ddxplus|test:61929|5,0,8,3.0,False,0,1.148527527470164,0.9558890461921692,0,0,0
ddxplus,test:61929,10,train,ddxplus|test:61929|10,0,8,4.0,False,0,1.224878156046472,0.9980460405349731,0,0,0
ddxplus,test:61929,15,train,ddxplus|test:61929|15,0,8,5.0,False,0,1.2386307282256084,0.9980460405349731,0,0,0
ddxplus,test:116728,5,train,ddxplus|test:116728|5,0,8,5.0,True,1,1.5399924480915073,0.9999784231185912,0,0,0
ddxplus,test:116728,10,train,ddxplus|test:116728|10,0,8,8.0,True,2,0.9631273271913724,0.9999997615814208,0,0,0
ddxplus,test:116728,15,train,ddxplus|test:116728|15,0,8,9.0,True,2,1.5829719779060798,1.0,0,0,0
