run_scope,policy_name,diagnostic_only,case_id,true_pathology,notebook13_predicted_pathology,graph_only_predicted_pathology,graph_adjudicator_predicted_pathology,notebook13_correct,graph_only_correct,graph_adjudicator_correct,graph_adjudicator_top3_correct,graph_adjudicator_top5_correct,graph_only_top3_correct,graph_only_top5_correct,num_requests,stop_reason,override_fired,decision_source,graph_top1,graph_top2,graph_margin,graph_top1_score,reference_graph_score,graph_top1_posterior,reference_graph_posterior,clip_value,margin_min,require_reference_negative,require_graph_positive,regression_vs_notebook13,improvement_vs_notebook13,win_loss_vs_notebook13,selected_ranked_differential,graph_ranked_differential,notebook13_ranked_differential
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:38475,Acute COPD exacerbation / infection,Myocarditis,Scombroid food poisoning,Myocarditis,False,False,False,False,False,False,True,24,max_requests_reached,False,notebook13_reference,Scombroid food poisoning,Bronchitis,0.29035628393997825,0.8802150183159733,-2.23665599758243,0.2996189773694661,0.013271787957672882,3.0,1.0,True,True,False,False,both_wrong,"['Myocarditis', 'Sarcoidosis', 'Guillain-Barré syndrome', 'Myasthenia gravis', 'Bronchiectasis']","['Scombroid food poisoning', 'Bronchitis', 'Bronchospasm / acute asthma exacerbation', 'Acute COPD exacerbation / infection', 'Guillain-Barré syndrome', 'Sarcoidosis', 'Myasthenia gravis', 'Acute dystonic reactions', 'PSVT', 'Boerhaave', 'Panic attack', 'Chagas', 'Bronchiectasis', 'Atrial fibrillation', 'Myocarditis', 'Bronchiolitis', 'Anemia', 'Stable angina', 'Anaphylaxis', 'Ebola', 'Croup', 'Unstable angina', 'Pulmonary embolism', 'Possible NSTEMI / STEMI', 'Pulmonary neoplasm', 'Pericarditis', 'Spontaneous pneumothorax', 'Epiglottitis', 'SLE', 'Acute pulmonary edema', 'Spontaneous rib fracture', 'Tuberculosis', 'Whooping cough', 'Acute otitis media', 'Cluster headache', 'Inguinal hernia', 'Localized edema', 'Viral pharyngitis', 'Allergic sinusitis', 'Pancreatic neoplasm', 'URTI', 'GERD', 'Acute laryngitis', 'Pneumonia', 'HIV (initial infection)', 'Larygospasm', 'Acute rhinosinusitis', 'Influenza', 'Chronic rhinosinusitis']","['Myocarditis', 'Sarcoidosis', 'Guillain-Barré syndrome', 'Myasthenia gravis', 'Bronchiectasis']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:104857,Acute dystonic reactions,Acute dystonic reactions,Acute dystonic reactions,Acute dystonic reactions,True,True,True,True,True,True,True,1,selected_mlp_stop,False,notebook13_reference,Acute dystonic reactions,Myasthenia gravis,1.3841803141610216,3.01391464543909,3.01391464543909,0.7293117003077068,0.7293117003077068,3.0,1.0,True,True,False,False,both_correct,"['Acute dystonic reactions', 'Myasthenia gravis', 'Guillain-Barré syndrome', 'Tuberculosis', 'Epiglottitis']","['Acute dystonic reactions', 'Myasthenia gravis', 'Bronchiolitis', 'URTI', 'Viral pharyngitis', 'Anemia', 'HIV (initial infection)', 'Localized edema', 'Anaphylaxis', 'Pulmonary embolism', 'Influenza', 'Bronchitis', 'Allergic sinusitis', 'GERD', 'Acute otitis media', 'Pneumonia', 'Panic attack', 'Acute laryngitis', 'Guillain-Barré syndrome', 'Pericarditis', 'Sarcoidosis', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Atrial fibrillation', 'Cluster headache', 'Chronic rhinosinusitis', 'Inguinal hernia', 'Bronchospasm / acute asthma exacerbation', 'Acute pulmonary edema', 'Pancreatic neoplasm', 'Bronchiectasis', 'PSVT', 'Scombroid food poisoning', 'Acute COPD exacerbation / infection', 'Epiglottitis', 'Stable angina', 'Tuberculosis', 'Boerhaave', 'Pulmonary neoplasm', 'Acute rhinosinusitis', 'SLE', 'Myocarditis', 'Larygospasm', 'Spontaneous pneumothorax', 'Chagas', 'Whooping cough', 'Spontaneous rib fracture', 'Croup', 'Ebola']","['Acute dystonic reactions', 'Myasthenia gravis', 'Guillain-Barré syndrome', 'Tuberculosis', 'Epiglottitis']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:58986,Acute laryngitis,Acute laryngitis,Acute laryngitis,Acute laryngitis,True,True,True,True,True,True,True,1,agent_stop,False,notebook13_reference,Acute laryngitis,Epiglottitis,1.3170140406313269,3.0269851792650644,3.0269851792650644,0.7216274285525897,0.7216274285525897,3.0,1.0,True,True,False,False,both_correct,"['Acute laryngitis', 'Epiglottitis', 'URTI', 'GERD', 'HIV (initial infection)']","['Acute laryngitis', 'Epiglottitis', 'Bronchiolitis', 'URTI', 'Viral pharyngitis', 'Anemia', 'HIV (initial infection)', 'Localized edema', 'Anaphylaxis', 'Pulmonary embolism', 'Influenza', 'Bronchitis', 'Allergic sinusitis', 'Acute dystonic reactions', 'GERD', 'Acute otitis media', 'Pneumonia', 'Panic attack', 'Guillain-Barré syndrome', 'Pericarditis', 'Sarcoidosis', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Atrial fibrillation', 'Cluster headache', 'Chronic rhinosinusitis', 'Inguinal hernia', 'Bronchospasm / acute asthma exacerbation', 'Acute pulmonary edema', 'Pancreatic neoplasm', 'Bronchiectasis', 'PSVT', 'Scombroid food poisoning', 'Acute COPD exacerbation / infection', 'Stable angina', 'Tuberculosis', 'Boerhaave', 'Pulmonary neoplasm', 'Acute rhinosinusitis', 'SLE', 'Myocarditis', 'Larygospasm', 'Spontaneous pneumothorax', 'Chagas', 'Whooping cough', 'Spontaneous rib fracture', 'Croup', 'Ebola', 'Myasthenia gravis']","['Acute laryngitis', 'Epiglottitis', 'URTI', 'GERD', 'HIV (initial infection)']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:33118,Acute otitis media,Acute otitis media,Acute otitis media,Acute otitis media,True,True,True,True,True,True,True,7,selected_mlp_stop,False,notebook13_reference,Acute otitis media,Croup,0.5128015290189086,1.1528718769834723,1.1528718769834723,0.21485972487499527,0.21485972487499527,3.0,1.0,True,True,False,False,both_correct,"['Acute otitis media', 'Acute dystonic reactions', 'Acute pulmonary edema', 'Anemia', 'Atrial fibrillation']","['Acute otitis media', 'Croup', 'Bronchiolitis', 'Cluster headache', 'Chronic rhinosinusitis', 'Pneumonia', 'Acute rhinosinusitis', 'Viral pharyngitis', 'Allergic sinusitis', 'Influenza', 'URTI', 'Bronchitis', 'Anemia', 'Localized edema', 'Pulmonary embolism', 'Acute dystonic reactions', 'Panic attack', 'Guillain-Barré syndrome', 'Pericarditis', 'Sarcoidosis', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Atrial fibrillation', 'Inguinal hernia', 'Acute pulmonary edema', 'PSVT', 'Myasthenia gravis', 'Stable angina', 'Boerhaave', 'SLE', 'Myocarditis', 'Spontaneous pneumothorax', 'Chagas', 'Whooping cough', 'Pancreatic neoplasm', 'Scombroid food poisoning', 'HIV (initial infection)', 'Acute laryngitis', 'Spontaneous rib fracture', 'GERD', 'Bronchiectasis', 'Pulmonary neoplasm', 'Epiglottitis', 'Anaphylaxis', 'Larygospasm', 'Tuberculosis', 'Bronchospasm / acute asthma exacerbation', 'Acute COPD exacerbation / infection', 'Ebola']","['Acute otitis media', 'Acute dystonic reactions', 'Acute pulmonary edema', 'Anemia', 'Atrial fibrillation']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:93930,Acute pulmonary edema,Acute pulmonary edema,Acute pulmonary edema,Acute pulmonary edema,True,True,True,True,True,True,True,4,selected_mlp_stop,False,notebook13_reference,Acute pulmonary edema,Localized edema,15.261037355848973,11.900605097858174,11.900605097858174,0.9999996103181839,0.9999996103181839,3.0,1.0,True,True,False,False,both_correct,"['Acute pulmonary edema', 'Localized edema', 'Anaphylaxis', 'Pulmonary embolism', 'Stable angina']","['Acute pulmonary edema', 'Localized edema', 'Pneumonia', 'Stable angina', 'Pulmonary embolism', 'Unstable angina', 'Anaphylaxis', 'Myocarditis', 'Atrial fibrillation', 'Spontaneous pneumothorax', 'Bronchiolitis', 'SLE', 'Ebola', 'Bronchospasm / acute asthma exacerbation', 'Pulmonary neoplasm', 'Myasthenia gravis', 'Acute COPD exacerbation / infection', 'Bronchiectasis', 'Panic attack', 'Epiglottitis', 'Possible NSTEMI / STEMI', 'Guillain-Barré syndrome', 'Croup', 'Sarcoidosis', 'Boerhaave', 'Pericarditis', 'Anemia', 'Acute dystonic reactions', 'Tuberculosis', 'Bronchitis', 'Chagas', 'PSVT', 'Scombroid food poisoning', 'Spontaneous rib fracture', 'Acute laryngitis', 'Acute otitis media', 'Acute rhinosinusitis', 'Allergic sinusitis', 'Chronic rhinosinusitis', 'Cluster headache', 'GERD', 'HIV (initial infection)', 'Influenza', 'Inguinal hernia', 'Larygospasm', 'Pancreatic neoplasm', 'URTI', 'Viral pharyngitis', 'Whooping cough']","['Acute pulmonary edema', 'Localized edema', 'Anaphylaxis', 'Pulmonary embolism', 'Stable angina']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:111176,Acute rhinosinusitis,Chronic rhinosinusitis,Chronic rhinosinusitis,Chronic rhinosinusitis,False,False,False,True,True,True,True,8,selected_mlp_stop,False,notebook13_reference,Chronic rhinosinusitis,Acute rhinosinusitis,2.2940182597135284,7.427146294925754,7.427146294925754,0.9083394801595748,0.9083394801595748,3.0,1.0,True,True,False,False,both_wrong,"['Chronic rhinosinusitis', 'Allergic sinusitis', 'Acute rhinosinusitis', 'URTI', 'Influenza']","['Chronic rhinosinusitis', 'Acute rhinosinusitis', 'Allergic sinusitis', 'URTI', 'Influenza', 'Viral pharyngitis', 'Bronchiolitis', 'Acute otitis media', 'Bronchitis', 'Cluster headache', 'Bronchospasm / acute asthma exacerbation', 'GERD', 'Spontaneous rib fracture', 'Pancreatic neoplasm', 'Pneumonia', 'Ebola', 'Acute laryngitis', 'Acute COPD exacerbation / infection', 'Croup', 'Pulmonary neoplasm', 'Tuberculosis', 'Bronchiectasis', 'Anemia', 'Localized edema', 'Anaphylaxis', 'Acute dystonic reactions', 'Panic attack', 'Guillain-Barré syndrome', 'Pericarditis', 'Sarcoidosis', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Atrial fibrillation', 'Inguinal hernia', 'Acute pulmonary edema', 'PSVT', 'Myasthenia gravis', 'Scombroid food poisoning', 'Stable angina', 'Boerhaave', 'SLE', 'Myocarditis', 'Larygospasm', 'Spontaneous pneumothorax', 'Chagas', 'Pulmonary embolism', 'Epiglottitis', 'HIV (initial infection)', 'Whooping cough']","['Chronic rhinosinusitis', 'Allergic sinusitis', 'Acute rhinosinusitis', 'URTI', 'Influenza']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:88250,Allergic sinusitis,Allergic sinusitis,Allergic sinusitis,Allergic sinusitis,True,True,True,True,True,True,True,18,selected_mlp_stop,False,notebook13_reference,Allergic sinusitis,Acute otitis media,6.704190484247292,5.978635981325056,5.978635981325056,0.998074545417159,0.998074545417159,3.0,1.0,True,True,False,False,both_correct,"['Allergic sinusitis', 'Acute otitis media', 'URTI', 'Chronic rhinosinusitis', 'Viral pharyngitis']","['Allergic sinusitis', 'Acute otitis media', 'URTI', 'Viral pharyngitis', 'Bronchitis', 'Influenza', 'Cluster headache', 'Chronic rhinosinusitis', 'Bronchiolitis', 'GERD', 'Pancreatic neoplasm', 'Tuberculosis', 'Ebola', 'Acute rhinosinusitis', 'Croup', 'Spontaneous rib fracture', 'Acute laryngitis', 'Acute COPD exacerbation / infection', 'Anemia', 'Acute dystonic reactions', 'Boerhaave', 'Sarcoidosis', 'Guillain-Barré syndrome', 'Bronchospasm / acute asthma exacerbation', 'Bronchiectasis', 'Myasthenia gravis', 'Chagas', 'Pericarditis', 'Stable angina', 'Myocarditis', 'Unstable angina', 'Inguinal hernia', 'Possible NSTEMI / STEMI', 'Atrial fibrillation', 'Pulmonary neoplasm', 'Spontaneous pneumothorax', 'Pneumonia', 'Localized edema', 'Whooping cough', 'Panic attack', 'PSVT', 'Pulmonary embolism', 'Larygospasm', 'Acute pulmonary edema', 'Scombroid food poisoning', 'HIV (initial infection)', 'SLE', 'Epiglottitis', 'Anaphylaxis']","['Allergic sinusitis', 'Acute otitis media', 'URTI', 'Chronic rhinosinusitis', 'Viral pharyngitis']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:121319,Anaphylaxis,Anaphylaxis,Anaphylaxis,Anaphylaxis,True,True,True,True,True,True,True,3,selected_mlp_stop,False,notebook13_reference,Anaphylaxis,Localized edema,4.955215082094524,4.85727731723251,4.85727731723251,0.9676263112887648,0.9676263112887648,3.0,1.0,True,True,False,False,both_correct,"['Anaphylaxis', 'Localized edema', 'Acute pulmonary edema', 'SLE', 'Pulmonary embolism']","['Anaphylaxis', 'Localized edema', 'Acute pulmonary edema', 'Pulmonary embolism', 'SLE', 'Inguinal hernia', 'Pancreatic neoplasm', 'Pneumonia', 'Influenza', 'HIV (initial infection)', 'Scombroid food poisoning', 'Anemia', 'Allergic sinusitis', 'Acute dystonic reactions', 'GERD', 'Panic attack', 'Guillain-Barré syndrome', 'Pericarditis', 'Sarcoidosis', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Atrial fibrillation', 'Cluster headache', 'Chronic rhinosinusitis', 'Bronchospasm / acute asthma exacerbation', 'Bronchiectasis', 'PSVT', 'Myasthenia gravis', 'Acute COPD exacerbation / infection', 'Stable angina', 'Boerhaave', 'Pulmonary neoplasm', 'Myocarditis', 'Larygospasm', 'Spontaneous pneumothorax', 'Whooping cough', 'Spontaneous rib fracture', 'Acute rhinosinusitis', 'Ebola', 'Viral pharyngitis', 'Bronchitis', 'Acute laryngitis', 'Acute otitis media', 'Croup', 'Chagas', 'Tuberculosis', 'Epiglottitis', 'URTI', 'Bronchiolitis']","['Anaphylaxis', 'Localized edema', 'Acute pulmonary edema', 'SLE', 'Pulmonary embolism']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:18744,Anemia,Anemia,Anemia,Anemia,True,True,True,True,True,True,True,1,selected_mlp_stop,False,notebook13_reference,Anemia,Bronchiolitis,10.393984445944168,6.0,6.0,0.9996807078964131,0.9996807078964131,3.0,1.0,True,True,False,False,both_correct,"['Anemia', 'SLE', 'Tuberculosis', 'Influenza', 'Myasthenia gravis']","['Anemia', 'Bronchiolitis', 'Acute COPD exacerbation / infection', 'Acute dystonic reactions', 'Acute laryngitis', 'Acute otitis media', 'Acute pulmonary edema', 'Acute rhinosinusitis', 'Allergic sinusitis', 'Anaphylaxis', 'Atrial fibrillation', 'Boerhaave', 'Bronchiectasis', 'Bronchitis', 'Bronchospasm / acute asthma exacerbation', 'Chagas', 'Chronic rhinosinusitis', 'Cluster headache', 'Croup', 'Ebola', 'Epiglottitis', 'GERD', 'Guillain-Barré syndrome', 'HIV (initial infection)', 'Influenza', 'Inguinal hernia', 'Larygospasm', 'Localized edema', 'Myasthenia gravis', 'Myocarditis', 'PSVT', 'Pancreatic neoplasm', 'Panic attack', 'Pericarditis', 'Pneumonia', 'Possible NSTEMI / STEMI', 'Pulmonary embolism', 'Pulmonary neoplasm', 'SLE', 'Sarcoidosis', 'Scombroid food poisoning', 'Spontaneous pneumothorax', 'Spontaneous rib fracture', 'Stable angina', 'Tuberculosis', 'URTI', 'Unstable angina', 'Viral pharyngitis', 'Whooping cough']","['Anemia', 'SLE', 'Tuberculosis', 'Influenza', 'Myasthenia gravis']"
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,test:11342,Atrial fibrillation,Atrial fibrillation,Atrial fibrillation,Atrial fibrillation,True,True,True,True,True,True,True,5,selected_mlp_stop,False,notebook13_reference,Atrial fibrillation,Acute COPD exacerbation / infection,15.373393072344271,9.449776910935988,9.449776910935988,0.9999988727764747,0.9999988727764747,3.0,1.0,True,True,False,False,both_correct,"['Atrial fibrillation', 'Acute pulmonary edema', 'Panic attack', 'Possible NSTEMI / STEMI', 'Stable angina']","['Atrial fibrillation', 'Acute COPD exacerbation / infection', 'Panic attack', 'Acute pulmonary edema', 'Possible NSTEMI / STEMI', 'Unstable angina', 'Stable angina', 'Pericarditis', 'Scombroid food poisoning', 'Myocarditis', 'PSVT', 'Epiglottitis', 'Bronchiolitis', 'Ebola', 'URTI', 'Viral pharyngitis', 'Anemia', 'HIV (initial infection)', 'Anaphylaxis', 'Pulmonary embolism', 'Influenza', 'Bronchitis', 'Allergic sinusitis', 'GERD', 'Acute otitis media', 'Pneumonia', 'Acute laryngitis', 'Guillain-Barré syndrome', 'Sarcoidosis', 'Cluster headache', 'Chronic rhinosinusitis', 'Inguinal hernia', 'Bronchospasm / acute asthma exacerbation', 'Pancreatic neoplasm', 'Bronchiectasis', 'Myasthenia gravis', 'Tuberculosis', 'Boerhaave', 'Pulmonary neoplasm', 'Acute rhinosinusitis', 'SLE', 'Larygospasm', 'Spontaneous pneumothorax', 'Chagas', 'Whooping cough', 'Spontaneous rib fracture', 'Croup', 'Localized edema', 'Acute dystonic reactions']","['Atrial fibrillation', 'Acute pulmonary edema', 'Panic attack', 'Possible NSTEMI / STEMI', 'Stable angina']"
