case_id,turn_index,root_evidence_id,question_en,was_requested,source_tag_text,source_tags,score,notebook13_score_norm,graph_information_gain_norm,disease_specific_support_norm,disease_specific_support_log_odds,support_pathology,support_active_weight,rare_support_candidate,safety_recovery_candidate,base_rank,graph_rank,advisory_rank,information_gain,split_balance
test:34242,1,E_83,Have you noticed weakness in your facial muscles and/or eyes?,True,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.9722,0.9622,0.699,1.0,13.4048,Guillain-Barré syndrome,0.6376,True,False,3.0,7,1,0.406,0.8443
test:34242,1,E_93,"Do you have numbness, loss of sensation or tingling in the feet?",False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.9392,0.9469,0.6207,1.0,13.3249,Guillain-Barré syndrome,0.6376,True,False,4.0,9,2,0.3605,0.7795
test:34242,1,E_156,"Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.9091,0.9272,0.5582,1.0,13.2501,Guillain-Barré syndrome,0.6376,True,False,5.0,12,3,0.3242,0.7233
test:34242,1,E_63,Do you have difficulty articulating words/speaking?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.8917,0.8805,0.9669,1.0,13.5284,Myasthenia gravis,0.36,True,False,6.0,3,4,0.5616,0.5371
test:34242,1,E_52,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.887,0.8681,0.9702,1.0,13.5307,Myasthenia gravis,0.36,True,False,7.0,2,5,0.5635,0.5383
test:34242,1,E_28,Are there any members of your family who have been diagnosed myasthenia gravis?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.8793,0.7848,0.7972,1.0,13.392,Myasthenia gravis,0.36,True,False,11.0,8,6,0.463,0.4686
test:34242,1,E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.7807,1.0,0.7503,0.2725,3.5425,Guillain-Barré syndrome,0.6376,False,False,1.0,5,7,0.4358,0.8865
test:34242,1,E_0,Have you recently had a viral infection?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.7685,0.9828,0.7478,0.2556,3.3227,Guillain-Barré syndrome,0.6376,False,False,2.0,6,8,0.4343,0.8818
test:34242,1,E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.7506,0.8496,1.0,0.3166,4.1152,Myasthenia gravis,0.36,False,False,9.0,1,9,0.5808,0.5501
test:34242,1,E_172,Do you have a hard time opening/raising one or both eyelids?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.7414,0.862,0.9613,0.2986,3.8824,Myasthenia gravis,0.36,False,False,8.0,4,10,0.5583,0.535
test:34242,1,E_38,Do you have pain or weakness in your jaw?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.7272,0.6121,0.8165,1.0,13.4095,Myasthenia gravis,0.36,True,False,13.0,10,11,0.4742,0.4769
test:34242,1,E_90,Do your symptoms of muscle weakness increase with fatigue and/or stress?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.6794,0.6743,0.5613,1.0,13.1193,Myasthenia gravis,0.36,True,False,12.0,13,12,0.326,0.3567
test:34242,2,E_93,"Do you have numbness, loss of sensation or tingling in the feet?",False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.9001,0.949,0.3984,1.0,13.3249,Guillain-Barré syndrome,0.8719,True,False,3.0,2,1,0.196,0.9343
test:34242,2,E_156,"Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.8862,0.9301,0.3553,1.0,13.2501,Guillain-Barré syndrome,0.8719,True,False,4.0,3,2,0.1748,0.989
test:34242,2,E_63,Do you have difficulty articulating words/speaking?,False,graph_ig+rare_support+safety_recovery+v13_base,"[""graph_ig"", ""rare_support"", ""safety_recovery"", ""v13_base""]",0.8024,0.8767,0.4815,1.0,13.5284,Myasthenia gravis,0.0502,True,True,5.0,10,3,0.2369,0.0749
test:34242,2,E_28,Are there any members of your family who have been diagnosed myasthenia gravis?,False,graph_ig+rare_support+safety_recovery+v13_base,"[""graph_ig"", ""rare_support"", ""safety_recovery"", ""v13_base""]",0.7404,0.7817,0.4085,1.0,13.392,Myasthenia gravis,0.0502,True,True,10.0,13,4,0.201,0.0654
test:34242,2,E_52,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,False,graph_ig+rare_support+safety_recovery+v13_base,"[""graph_ig"", ""rare_support"", ""safety_recovery"", ""v13_base""]",0.7171,0.8642,0.4829,1.0,13.5307,Myasthenia gravis,0.0502,True,True,6.0,9,5,0.2376,0.0751
test:34242,2,E_0,Have you recently had a viral infection?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6954,0.9834,0.4892,0.2556,3.3227,Guillain-Barré syndrome,0.8719,False,False,2.0,1,6,0.2407,0.7943
test:34242,2,E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6743,1.0,0.3843,0.2725,3.5425,Guillain-Barré syndrome,0.8719,False,False,1.0,5,7,0.1891,0.7372
test:34242,2,E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6158,0.846,0.6421,0.3166,4.1152,Myasthenia gravis,0.0502,False,False,8.0,4,8,0.3159,0.1129
test:34242,2,E_177,"Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?",False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.5963,0.8305,0.2776,0.2874,3.7363,Guillain-Barré syndrome,0.8719,False,False,9.0,7,9,0.1366,0.9565
test:34242,2,E_38,Do you have pain or weakness in your jaw?,False,graph_ig+rare_support+safety_recovery+v13_base,"[""graph_ig"", ""rare_support"", ""safety_recovery"", ""v13_base""]",0.5853,0.6097,0.4171,1.0,13.4095,Myasthenia gravis,0.0502,True,True,12.0,18,10,0.2052,0.0665
test:34242,2,E_90,Do your symptoms of muscle weakness increase with fatigue and/or stress?,False,rare_support+safety_recovery+v13_base,"[""rare_support"", ""safety_recovery"", ""v13_base""]",0.5822,0.6722,0.299,1.0,13.1193,Myasthenia gravis,0.0502,True,True,11.0,11,11,0.1471,0.0498
test:34242,2,E_172,Do you have a hard time opening/raising one or both eyelids?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.5732,0.8583,0.4791,0.2986,3.8824,Myasthenia gravis,0.0502,False,False,7.0,11,12,0.2357,0.0746
test:95923,1,E_142,Does your mother suffer from asthma?,True,rare_support+safety_recovery+v13_base,"[""rare_support"", ""safety_recovery"", ""v13_base""]",0.713,0.9256,0.3052,1.0,13.2646,Bronchiolitis,0.1793,True,True,3.0,1,1,0.1023,0.2019
test:95923,1,E_23,Do you ever temporarily stop breathing while you’re asleep?,False,rare_support+safety_recovery+v13_base,"[""rare_support"", ""safety_recovery"", ""v13_base""]",0.7008,0.7258,0.2977,1.0,13.2441,Bronchiolitis,0.1793,True,True,5.0,2,2,0.0998,0.1978
test:95923,1,E_181,Do you have nasal congestion or a clear runny nose?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6844,1.0,0.6951,0.1245,1.6183,Bronchiolitis,0.1793,False,False,1.0,5,3,0.233,0.3573
test:95923,1,E_91,Do you have a fever (either felt or measured with a thermometer)?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6786,0.9974,0.682,0.1189,1.5462,Bronchiolitis,0.1793,False,False,2.0,6,4,0.2286,0.3546
test:95923,1,E_46,Have you had 2 or more asthma attacks in the past year?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.6715,0.5321,0.4827,1.0,13.5654,Bronchospasm / acute asthma exacerbation,0.2017,True,False,13.0,8,5,0.1618,0.3141
test:95923,1,E_119,Have you been diagnosed with chronic sinusitis?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.6588,0.5238,0.4523,1.0,13.519,Bronchospasm / acute asthma exacerbation,0.2017,True,False,15.0,10,6,0.1516,0.2999
test:95923,1,E_101,Have you been hospitalized for an asthma attack in the past year?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.6484,0.5131,0.4338,1.0,13.4884,Bronchospasm / acute asthma exacerbation,0.2017,True,False,16.0,11,7,0.1454,0.2909
test:95923,1,E_183,Do you live in a rural area?,False,rare_support+safety_recovery+v13_base,"[""rare_support"", ""safety_recovery"", ""v13_base""]",0.6238,0.7258,0.3076,1.0,13.2713,Bronchiolitis,0.1793,True,True,6.0,8,8,0.1031,0.2032
test:95923,1,E_195,Do you live in the suburbs?,False,rare_support+safety_recovery+v13_base,"[""rare_support"", ""safety_recovery"", ""v13_base""]",0.6208,0.7258,0.2977,1.0,13.2441,Bronchiolitis,0.1793,True,True,7.0,9,9,0.0998,0.1978
test:95923,1,E_214,Have you noticed a wheezing sound when you exhale?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.569,0.6815,0.6387,0.2097,2.7263,Bronchospasm / acute asthma exacerbation,0.2017,False,False,9.0,2,10,0.2141,0.6065
test:95923,1,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.5527,0.6443,0.6999,0.1621,2.1073,Bronchospasm / acute asthma exacerbation,0.2017,False,False,10.0,1,11,0.2346,0.5537
test:95923,1,E_209,Are your vaccinations up to date?,False,v13_base,"[""v13_base""]",0.5268,0.9191,0.2521,0.1651,2.1457,Bronchiolitis,0.1793,False,False,4.0,12,12,0.0845,0.1719
test:95923,2,E_46,Have you had 2 or more asthma attacks in the past year?,True,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.8181,0.8176,0.5312,1.0,13.5654,Bronchospasm / acute asthma exacerbation,0.2398,True,False,7.0,8,1,0.1693,0.3731
test:95923,2,E_119,Have you been diagnosed with chronic sinusitis?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.8019,0.8043,0.4973,1.0,13.519,Bronchospasm / acute asthma exacerbation,0.2398,True,False,8.0,10,2,0.1585,0.3562
test:95923,2,E_101,Have you been hospitalized for an asthma attack in the past year?,False,graph_ig+rare_support+v13_base,"[""graph_ig"", ""rare_support"", ""v13_base""]",0.788,0.7873,0.4766,1.0,13.4884,Bronchospasm / acute asthma exacerbation,0.2398,True,False,10.0,11,3,0.1519,0.3456
test:95923,2,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.7333,1.0,0.7603,0.1621,2.1073,Bronchospasm / acute asthma exacerbation,0.2398,False,False,1.0,1,4,0.2423,0.6077
test:95923,2,E_214,Have you noticed a wheezing sound when you exhale?,False,graph_ig+v13_base,"[""graph_ig"", ""v13_base""]",0.6808,0.9013,0.6658,0.2097,2.7263,Bronchospasm / acute asthma exacerbation,0.2398,False,False,2.0,2,5,0.2122,0.6685
