root_evidence_id,question_en,data_type,num_outcome_states,global_present_rate,root_mi,root_mi_norm
E_55,Do you feel pain somewhere?,M,18196,0.7789941907289573,2.820389798713946,1.0
E_54,Characterize your pain:,M,666,0.7789941907289573,2.3185333728750703,0.822061324265279
E_57,Does the pain radiate to another location?,M,1613,0.7789941907289573,1.376401220435012,0.4880180821327001
E_59,How fast did the pain appear?,C,12,0.7789941907289573,0.8705578963325304,0.3086658080842199
E_133,Where is the affected region located?,M,9202,0.1950776227035439,0.85288240607943,0.3023987700098515
E_56,How intense is the pain?,C,12,0.7789941907289573,0.8186539649690525,0.29026270246132146
E_58,How precisely is the pain located?,C,12,0.7789941907289573,0.8023875429943887,0.2844952649312038
E_130,What color is the rash?,C,6,0.1950776227035439,0.7244547090586977,0.25686332768223663
E_136,How severe is the itching?,C,12,0.1950776227035439,0.6623975265183497,0.23486027598752224
E_135,Is the lesion (or are the lesions) larger than 1cm?,C,3,0.1950776227035439,0.5822327043087989,0.20643696292416316
E_131,Do your lesions peel off?,C,3,0.1950776227035439,0.5670808517959941,0.2010647081671385
E_134,How intense is the pain caused by the rash?,C,10,0.18350685743592543,0.5609440088519895,0.19888882349091294
E_132,Is the rash swollen?,C,9,0.1950776227035439,0.5515620504973561,0.19556234771124892
E_53,"Do you have pain somewhere, related to your reason for consulting?",B,2,0.7684062628583017,0.5115360875338127,0.18137070548442108
E_152,Where is the swelling located?,M,572,0.10850310354308978,0.502774371136975,0.1782641432635419
E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",B,2,0.16328263790437225,0.41517191591616986,0.14720373620181218
E_201,Do you have a cough?,B,2,0.31144440045943744,0.3685674271864014,0.13067960583124447
E_79,Do you smoke cigarettes?,B,2,0.28018958621375545,0.33199442862261036,0.1177122498365278
E_181,Do you have nasal congestion or a clear runny nose?,B,2,0.19769462228037782,0.31308449151574913,0.11100752515078263
E_151,Do you have swelling in one or more areas of your body?,B,2,0.09658229995651335,0.30633928210469913,0.10861593750069054
E_91,Do you have a fever (either felt or measured with a thermometer)?,B,2,0.21081764661145352,0.3050411410300457,0.10815566740779581
E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,B,2,0.38971745374911515,0.30191043063672995,0.10704563985247585
E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,B,2,0.13486615665726076,0.2935653835251675,0.1040868122764551
E_50,Have you had significantly increased sweating?,B,2,0.1258587639259674,0.2457715912147108,0.08714100133491434
E_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,B,2,0.11533616354102272,0.23528893467044973,0.08342426099319245
E_70,Are you significantly overweight compared to people of the same height as you?,B,2,0.10609573694279062,0.23156957265195116,0.08210552057646191
E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,B,2,0.08975704025538167,0.23109945075346974,0.08193883372392266
E_77,Do you have a cough that produces colored or more abundant sputum than usual?,B,2,0.0955360851480399,0.2308800869365718,0.0818610558873279
E_48,Do you live with 4 or more people?,B,2,0.09747543394026148,0.22662336838025082,0.08035178984252019
E_49,Do you attend or work in a daycare?,B,2,0.09581007057318536,0.22229856549266158,0.07881838375462366
E_69,Do you have diabetes?,B,2,0.0880614507382006,0.21880181278921867,0.07757857190129851
E_97,Do you have a sore throat?,B,2,0.09214685618787799,0.21870276118581103,0.0775434520737297
E_45,Have you been coughing up blood?,B,2,0.09828471473339562,0.2182917473182704,0.07739772261898267
E_105,Have you ever had a heart attack or do you have angina (chest pain)?,B,2,0.07535184213759338,0.2163326133174957,0.07670309026650855
E_148,Are you feeling nauseous or do you feel like vomiting?,B,2,0.10527280563025421,0.21444448017291298,0.07603363204288156
E_226,Are you more likely to develop common allergies than the general population?,B,2,0.0777192322167859,0.21354131053398526,0.0757134033853607
E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",B,2,0.07868549398304603,0.2129625995904262,0.07550821510116575
E_82,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,B,2,0.08910669050957387,0.2124929033875079,0.07534167918363673
E_144,Do you have diffuse (widespread) muscle pain?,B,2,0.0906628497214319,0.21082327804892093,0.07474969528859204
E_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,B,2,0.0793241432836519,0.2079020353756352,0.07371393680066327
E_123,Do you have a chronic obstructive pulmonary disease (COPD)?,B,2,0.0709037228866558,0.2017060549914447,0.07151708429927647
E_214,Have you noticed a wheezing sound when you exhale?,B,2,0.07225804941878033,0.19774622953529822,0.0701130849450198
