case_id,turn_index,requested_root,requested_question,graph_rank,graph_score,information_gain,split_balance,weighted_present_rate,outside_graph_top10
test:104857,1,E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",1,0.5417,0.5996,0.398,0.199,False
test:33118,1,E_91,Do you have a fever (either felt or measured with a thermometer)?,1,0.2848,0.1805,0.8891,0.4445,False
test:33118,2,E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,1,0.31,0.2914,0.4662,0.2331,False
test:33118,3,E_97,Do you have a sore throat?,1,0.3148,0.2475,0.7456,0.3728,False
test:33118,4,E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,1,0.3229,0.2187,0.9513,0.4756,False
test:33118,5,E_53,"Do you have pain somewhere, related to your reason for consulting?",4,0.2036,0.307,0.5284,0.7358,False
test:33118,6,E_54,Characterize your pain:,1,0.3991,0.7539,0.3768,0.8116,False
test:33118,7,E_55,Do you feel pain somewhere?,1,0.3347,0.6893,0.0835,0.9582,False
test:33118,8,E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",1,0.2779,0.265,0.3759,0.1879,False
test:93930,1,E_152,Where is the swelling located?,1,0.698,0.9237,0.001,0.9995,False
test:93930,2,E_106,Do you have heart failure?,1,0.3813,0.2902,0.9669,0.4834,False
test:93930,3,E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,2,0.3881,0.3484,0.6832,0.3416,False
test:93930,4,E_5,Have you ever had fluid in your lungs?,1,0.4128,0.363,0.8055,0.5973,False
test:93930,5,E_217,Are your symptoms worse when lying down and alleviated while sitting up?,1,0.3677,0.3074,0.787,0.6065,False
test:88250,1,E_53,"Do you have pain somewhere, related to your reason for consulting?",1,0.2695,0.378,0.8769,0.5616,False
test:88250,2,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,1,0.286,0.2124,0.7287,0.3644,False
test:88250,3,E_45,Have you been coughing up blood?,1,0.2824,0.1736,0.9238,0.4619,False
test:88250,4,E_214,Have you noticed a wheezing sound when you exhale?,1,0.3361,0.2513,0.8703,0.4351,False
test:88250,5,E_181,Do you have nasal congestion or a clear runny nose?,1,0.2888,0.209,0.7622,0.3811,False
test:88250,6,E_97,Do you have a sore throat?,1,0.2803,0.2024,0.7557,0.3778,False
